iter	Passed	Remaining
0	231	231428
1	336	168111
2	491	163240
3	623	155314
4	731	145608
5	809	134055
6	897	127362
7	1013	12567088	1092	12028999	1216	120448110	1348	121278111	1529	125937
12	1617	122821
13	1740	122578
14	1811	118923115	1934	118965116	2098	121320117	2228	121585118	2304	118978119	2391	117206220	2487	115965221	2632	117044222	2728	11589623	2804	114065
24	2947	114967
225	3114	116657226	3207	115605227	3308	114850228	3444	115315229	3523	113942330	3644	113932331	3760	113763332	3885	11387033	3988	113310
34	4066	112126
335	4218	11295836	4291	111686
37	4386	111042
38	4492	110693939	4591	110204040	4703	110025
441	4806	109642	42	4904	109143	43	4997	108544	44	5082	107845445	5151	106846446	5231	106047447	5307	105248	48	5394	104649	49	5472	103950	50	5555	103351551	5632	102652552	5719	102153553	5790	101442
54	5875	100945555	5974	100705
56	6097	100880
57	6174	1058	6558	6245	559	6559	6327	660	660	6382	961	6461	6462	962	65962	6589	63	66663	6684	64	68664	6786	65	6865	6841	966	69666	6950	67	7067	7011	968	7169	96737
69	72469	7229	70	73370	7316	71	7415	95579
72	7528	95595
73	7660	95855
74	7781	95971
75	7870	95689
76	79676	7934	77	80477	8020	78	8143	94937
79	82279	8197	80	8343	94659
81	84181	8420	82	84882	8543	983	8583	8633	884	8684	8717	985	8785	8817	986	8886	8884	987	8887	8955	888	8988	9056	989	9089	9128	990	9190	9236	92263
91	9324	992	9392	9405	993	9493	9477	994	9494	9582	995	9695	9679	996	9796	9777	997	9897	9848	998	9898	9932	999	9999	10052	100	101101	10250101	101102	10397	905471103	10495	904231104	10606	904041105	10699	90240105	106831106	101107	10831107	101108	10941108	10108	109501109	11109	11074110	1111111	1126111	1121112	1137112	1131113	11537	896711114	11662	897501115	11832	90174
116	11968	90323
117	12059	90139
118	12153	89976
119	12248	89821
120	12359	89787
121	12444	89556
122	12527	89324
123	12629	89218
124	12756	89297
125	12874	89301
126	12956	89062
127	13029	88764
128	1312128	1309129	1320129	1320130	1329130	1329131	1337131	1340132	1346132	1348133	1356133	1357134	1364134	1366135	1377135	1380136	1387136	1390137	1396137	1398138	1405138	1407139	1415139	1417140	1426140	1426141	1434141	1435142	1441142	1446143	1453143	1454144	1461144	1464145	1470145	1471146	1483146	1484147	1495147	1498148	1504148	1509149	1514149	1511150	1527150	1521151	1537151	153151	15440152	154152	15536153	155153	15626154	1561155	1579155	1581156	1591156	1591157	1600157	1591158	1611158	1611159	1619159	1611160	1630160	1621161	16451	851001162	16603	852561163	16742	853431164	16869	853691165	17027	85545
166	17175	85670
167	17288	85620
168	17393	85526
169	17485	85372
170	17569	85174
171	17691	85167
172	17829	85230
173	17929	85112
174	18051	85099
175	18145	84953
176	18225	84742
177	18327	84633
178	18412	84450
179	18530	84414
180	18639	84343
181	18762	84326
182	18868	84238
183	19018	84341
184	19110	84187
185	19228	84150
186	19348	84120
187	19434	83940
188	19539	83843
189	19643	83742
190	19720	83526
191	19819	83409
192	19926	83317
193	19998	83088
194	20068	82848
195	20170	82739
196	20282	82674
197	20387	82579
198	20496	82499
199	20590	82361
200	20692	82254
201	20774	82068
202	20857	81889
203	20943	81721
204	21043	81609
205	21145	81500
206	21248	81402
207	21339	81253
208	21435	81126
209	21524	80973
210	21627	80872
211	21703	80673
212	21792	80520
213	21858	80282
214	21954	80161
215	22045	80018
216	22131	79858
217	22223	79720
218	22333	79647
219	22435	79542
