iter	Logloss
0	0.6482139266
1	0.6095244631
2	0.5776055376
3	0.5549564805
4	0.5374752693
5	0.523794455
6	0.5088094372
7	0.4998811508
8	0.4904299599
9	0.4834159881
10	0.4784334948
11	0.4736465997
12	0.468549524
13	0.465905347
14	0.4619736419
15	0.4596460813
16	0.4565968024
17	0.4546363677
18	0.4512811093
19	0.4497041186
20	0.4478054469
21	0.4452932946
22	0.4439032687
23	0.4421019449
24	0.4399431701
25	0.4385145746
26	0.4367460293
27	0.4353228661
28	0.4341520559
29	0.4333474261
30	0.4318212217
31	0.4310371884
32	0.4299625415
33	0.4288110743
34	0.4279107235
35	0.4267165925
36	0.4255822026
37	0.4247209246
38	0.4236547927
39	0.4227908612
40	0.4217519996
41	0.4208211415
42	0.4195370298
43	0.4188836352
44	0.4180713736
45	0.4174443618
46	0.4162837983
47	0.4154291281
48	0.4144763711
49	0.4139219723
50	0.4129700663
51	0.4122091044
52	0.4113712017
53	0.4106610708
54	0.4097681532
55	0.4092731034
56	0.4087303329
57	0.408166178
58	0.4073542803
59	0.4067079466
60	0.4058676175
61	0.4054971394
62	0.404949185
63	0.4041802127
64	0.4035624358
65	0.4030470536
66	0.4025311895
67	0.4019742937
68	0.401443681
69	0.4008627592
70	0.4003607436
71	0.3997700819
72	0.3989874112
73	0.3983735322
74	0.397820448
75	0.3974292629
76	0.3968803391
77	0.3965682325
78	0.3959662342
79	0.3955913571
80	0.3951559849
81	0.3941896639
82	0.3937398382
83	0.3932771445
84	0.3927791114
85	0.3919849406
86	0.3914063674
87	0.3907312049
88	0.3898816057
89	0.3895529189
90	0.3890228103
91	0.3884476449
92	0.3876852286
93	0.3871662891
94	0.3866032169
95	0.3859681534
96	0.3853943594
97	0.3851060374
98	0.3844572315
99	0.3841382657
100	0.3834096882
101	0.3828923651
102	0.3823395266
103	0.3815567471
104	0.3811095337
105	0.3804102363
106	0.3796708584
107	0.3790053963
108	0.3783986557
109	0.3780197253
110	0.37759736
111	0.3770889479
112	0.3766536027
113	0.3759825659
114	0.3756145257
115	0.3751585609
116	0.3747730973
117	0.3742897721
118	0.3737138797
119	0.373177985
120	0.3725352012
121	0.3719958646
122	0.3715587262
123	0.3710451509
124	0.3706179839
125	0.3701867827
126	0.3698321021
127	0.3690091625
128	0.3682530672
129	0.367672601
130	0.3671932496
131	0.366556846
132	0.3659600898
133	0.3654191861
134	0.3646166125
135	0.3639232158
136	0.3634372912
137	0.3629749892
138	0.362561952
139	0.3620278965
140	0.3616420456
141	0.3612487532
142	0.3607519246
143	0.360215003
144	0.3598162717
145	0.3594994693
146	0.359053795
147	0.3586799244
148	0.3583287587
149	0.3577596955
150	0.3572772237
151	0.3565557215
152	0.355826999
153	0.3552936589
154	0.3548128293
155	0.3544493551
156	0.354146476
157	0.3538418903
158	0.3532637866
159	0.3529409038
160	0.3525315898
161	0.3520467221
162	0.3516190122
163	0.3513053579
164	0.3508240968
165	0.3503503807
166	0.3499590935
167	0.3492088091
168	0.3486777544
169	0.348278888
170	0.3479364544
171	0.3473973961
172	0.3466825564
173	0.3464201508
174	0.346005051
175	0.34568491
176	0.3451960493
177	0.3448010974
178	0.3444607222
179	0.3440358196
180	0.3436534252
181	0.3431772485
182	0.3426966887
183	0.3423326971
184	0.3419185066
185	0.3414614743
186	0.3410751234
187	0.3405353136
188	0.3400615452
189	0.3395814811
190	0.3392767465
191	0.3389706632
192	0.3385928714
193	0.3381918043
194	0.3378446754
195	0.3374683062
196	0.3370745404
197	0.3367541918
198	0.3363495755
199	0.3358207925
