iter	Passed	Remaining
0	192	38271
1	213	21128
2	235	15439
3	256	12591
4	281	10980
5	312	10097
6	344	9500
7	365	8772
8	381	8098
9	398	7579
10	415	7133
11	431	6763
12	445	6412
13	463	6154
14	478	5901
15	492	5667
16	505	5439
17	522	5278
18	537	5121
19	555	5002
20	574	4899
21	601	4866
22	619	4768
23	636	4665
24	651	4559
25	670	4490
26	690	4421
27	709	4355
28	724	4274
29	742	4209
30	757	4127
31	774	4063
32	793	4015
33	807	3944
34	823	3881
35	837	3817
36	855	3769
37	870	3711
38	887	3664
39	903	3613
40	919	3565
41	934	3516
42	949	3466
43	963	3417
44	976	3363
45	989	3314
46	1002	3263
47	1017	3220
48	1029	3173
49	1045	3135
50	1059	3094
51	1071	3050
52	1086	3013
53	1099	2972
54	1115	2940
55	1131	2909
56	1148	2880
57	1163	2849
58	1179	2818
59	1192	2782
60	1208	2753
61	1222	2720
62	1235	2687
63	1249	2654
64	1261	2620
65	1276	2592
66	1289	2560
67	1306	2536
68	1321	2509
69	1339	2487
70	1354	2461
71	1368	2432
72	1382	2406
73	1397	2378
74	1413	2355
75	1428	2331
76	1443	2306
77	1455	2276
78	1468	2249
79	1482	2223
80	1493	2194
81	1509	2171
82	1524	2149
83	1541	2128
84	1553	2102
85	1567	2078
86	1581	2054
87	1592	2027
88	1606	2004
89	1619	1979
90	1632	1954
91	1645	1931
92	1659	1909
93	1674	1888
94	1687	1865
95	1704	1846
96	1720	1826
97	1736	1807
98	1752	1787
99	1768	1768
100	1781	1746
101	1795	1725
102	1811	1706
103	1826	1685
104	1839	1664
105	1855	1645
106	1874	1629
107	1889	1609
108	1905	1590
109	1916	1568
110	1931	1549
111	1945	1528
112	1958	1508
113	1975	1490
114	1993	1473
115	2012	1457
116	2027	1438
117	2040	1418
118	2052	1397
119	2065	1377
120	2078	1357
121	2092	1338
122	2106	1318
123	2120	1299
124	2134	1280
125	2147	1261
126	2161	1242
127	2175	1223
128	2188	1204
129	2204	1187
130	2221	1170
131	2235	1151
132	2252	1134
133	2267	1116
134	2284	1100
135	2303	1084
136	2339	1076
137	2362	1061
138	2378	1043
139	2396	1026
140	2416	1011
141	2432	993
142	2447	975
143	2461	957
144	2475	939
145	2491	921
146	2505	903
147	2521	885
148	2536	868
149	2551	850
150	2569	833
151	2590	818
152	2616	803
153	2633	786
154	2651	769
155	2665	751
156	2680	734
157	2696	716
158	2712	699
159	2731	682
160	2748	665
161	2763	648
162	2780	631
163	2797	614
164	2817	597
165	2835	580
166	2852	563
167	2869	546
168	2887	529
169	2902	512
170	2917	494
171	2932	477
172	2952	460
173	2970	443
174	2987	426
175	3005	409
176	3021	392
177	3043	376
178	3058	358
179	3074	341
180	3092	324
181	3113	307
182	3129	290
183	3145	273
184	3160	256
185	3175	238
186	3189	221
187	3203	204
188	3219	187
189	3234	170
190	3247	153
191	3262	135
192	3275	118
193	3288	101
194	3303	84
195	3317	67
196	3331	50
197	3347	33
198	3363	16
199	3377	0
